Product Page URL,Section 19A approved medicine,Section 19A approval holder,Phone,Approved until,Status,Medicines in short supply/unavailable,Indication(s)
https://www.tga.gov.au/resources/section-19a-approvals/amiodarone-hydrochloride-50-mgml-concentrate-solution-injectioninfusion-uk,Amiodarone Hydrochloride 50 mg/ml Concentrate for Solution for Injection/Infusion (UK),Link Medical Products Pty Ltd ABN 73 010 971 516,1800 181 060,31 July 2025,Current,AMIODARONE JUNO amiodarone hydrochloride 150mg/3mL solution for injection ampoule - ARTG 233673,"Severe cases of tachyarrhythmias (eg. Wolff-Parkinson-White Syndrome, supraventricular, nodal and ventricular tachycardias, atrial flutter and fibrillation, ventricular fibrillation) not responding to other therapy. Treatment should be initiated in hospital. It is recommended that the patient should be regularly monitored for possible toxicity (eg. thyroid function, chest X-ray, ophthalmological examination, liver function etc.) during the entire course of therapy and for several months after discontinuation. Amiodarone may be used for treatment initiated in a hospital for severe cases of tachyarrhythmias (atrial, junctional and ventricular) not responding to other therapy and when a rapid response is required. Amiodarone should only be used where facilities exist for cardiac monitoring and defibrillation should the need arise."
https://www.tga.gov.au/resources/section-19a-approvals/09-sodium-chloride-injection-usp-viaflo-plastic-container-50-ml-baxter-usa,"0.9% Sodium Chloride Injection, USP in VIAFLO Plastic Container 50 mL (Baxter USA)",Baxter Healthcare Pty Ltd ABN 43 000 392 781,1800 229 837,28 February 2026,Current,N/A (Field Not Found/Timeout),Sodium Chloride Injection can be used as an electrolyte replenisher for maintenance or replacement of deficits in extracellular fluid.
https://www.tga.gov.au/resources/section-19a-approvals/carboplatin-injection-usp-450mg45ml-10mgml-multiple-dose-vial-ingenus-usa,"Carboplatin injection, USP 450mg/45mL (10mg/mL) multiple-dose vial (Ingenus, USA)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,30 April 2025,Current,CARBOPLATIN ACCORD carboplatin 450 mg/45 mL solution for injection vial - ARTG 215854 DBL CARBOPLATIN 450mg/45mL injection vial - ARTG 46846,Advanced stage ovarian cancer of epithelial origin.
https://www.tga.gov.au/resources/section-19a-approvals/fluorouracil-injection-usp-5g100ml-50mgml-vial-alembic-usa,"Fluorouracil Injection, USP 5g/100mL (50mg/mL) vial (Alembic, USA)",Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 June 2025,Current,FLUOROURACIL ACCORD fluorouracil 5000 mg/100 mL injection vial - ARTG 285802 FLUOROURACIL EBEWE fluorouracil 5000 mg/100 mL solution for injection vial - ARTG 166741,"Fluorouracil is indicated alone or in combination, for the palliative treatment of malignant tumours, particularly of the breast, colon or rectum; and in the treatment of gastric and pancreatic carcinomas. Fluorouracil should only be used when other proven measures have failed or are considered impractical."
https://www.tga.gov.au/resources/section-19a-approvals/nyxoid-naloxone-18mg-nasal-spray-solution-single-dose-container-uk,NYXOID naloxone 1.8mg nasal spray solution in a single-dose container (UK),Link Medical Products Pty Ltd ABN 73 010 971 517,1800 181 060,31 January 2026,Current,NYXOID naloxone hydrochloride dihydrate 2.2 mg/actuation nasal spray vial - ARTG 309381,"Nyxoid is intended as part of the emergency treatment for known or suspected opioid overdose as manifested by respiratory and/or central nervous system depression in: the home or other non-medical setting a health facility setting For this reason, Nyxoid should be carried by persons at risk of, or likely to witness such events. Nyxoid is indicated in adults and adolescents aged 14 years and over."
https://www.tga.gov.au/resources/section-19a-approvals/prazosin-hydrochloride-capsules-usp-1mg-novitium-pharma-usa,"Prazosin hydrochloride capsules, USP 1mg (Novitium Pharma, USA)",Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,31 May 2025,Current,MINIPRESS prazosin 1 mg as hydrochloride tablet blister pack - ARTG - 10756 APO-PRAZOSIN prazosin as hydrochloride 1mg tablet blister pack - ARTG 73858,In patients with hypertension. Prazosin is indicated in the treatment of hypertension of varied aetiology and all grades of severity. It can be used as the initial and sole agent or it may be employed in a treatment programme in conjunction with other antihypertensive agents.
https://www.tga.gov.au/resources/section-19a-approvals/zyprexa-intramuscular-olanzapine-injection-10mg-vial-usa,ZYPREXA INTRAMUSCULAR olanzapine for injection 10mg vial (USA),Orspec Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,31 May 2025,Current,ZYPREXA IM olanzapine 10mg powder for injection vial - ARTG 76867,"Indicated for the rapid control of agitation and disturbed behaviours in patients with schizophrenia and related psychoses and in patients with acute mania associated with Bipolar 1 Disorder, when oral therapy is not appropriate."
https://www.tga.gov.au/resources/section-19a-approvals/concerta-methylphenidate-hydrochloride-18mg-extended-release-tablets-switzerland,CONCERTA methylphenidate hydrochloride 18mg extended-release tablets (Switzerland),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 June 2025,Current,CONCERTA methylphenidate hydrochloride 18mg modified release tablet bottle - ARTG 93862 METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 18 mg modified release tablet bottle - ARTG 370912,CONCERTA is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD). Treatment should be commenced by a specialist.
https://www.tga.gov.au/resources/section-19a-approvals/concerta-methylphenidate-hydrochloride-27mg-extended-release-tablets-switzerland,CONCERTA methylphenidate hydrochloride 27mg extended-release tablets (Switzerland),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 June 2025,Current,CONCERTA methylphenidate hydrochloride 27mg modified release tablet bottle - ARTG 124502 METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 27 mg modified release tablet bottle - ARTG 370911,CONCERTA is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD). Treatment should be commenced by a specialist.
https://www.tga.gov.au/resources/section-19a-approvals/concerta-methylphenidate-hydrochloride-36mg-extended-release-tablets-switzerland,CONCERTA methylphenidate hydrochloride 36mg extended-release tablets (Switzerland),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 June 2025,Current,CONCERTA methylphenidate hydrochloride 36mg modified release tablet bottle - ARTG 93863 METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 36 mg modified release tablet bottle - ARTG 370900,CONCERTA is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD). Treatment should be commenced by a specialist.
https://www.tga.gov.au/resources/section-19a-approvals/concerta-methylphenidate-hydrochloride-54mg-extended-release-tablets-switzerland,CONCERTA methylphenidate hydrochloride 54mg extended-release tablets (Switzerland),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 June 2025,Current,CONCERTA methylphenidate hydrochloride 54mg modified release tablet bottle - ARTG 93864 METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 54 mg modified release tablet bottle - ARTG 370899,CONCERTA is indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD). Treatment should be commenced by a specialist.
https://www.tga.gov.au/resources/section-19a-approvals/oxytocin-10-units-1ml-concentrate-solution-infusion-ampoules-wockhardt-uk,"Oxytocin 10 units in 1mL concentrate for solution for infusion ampoules (Wockhardt, UK)",Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,30 April 2025,Current,VIATOCINON oxytocin 10 IU/1 mL injection ampoule - ARTG 164131,Oxytocin is indicated for: the induction of labour inadequate uterine effort management of third stage of labour post-partum haemorrhage
https://www.tga.gov.au/resources/section-19a-approvals/gentamicin-40mgml-80mg-2ml-solution-injection-ampoules-amdipharm-uk,"Gentamicin 40mg/mL (80mg in 2mL) Solution for Injection Ampoules (Amdipharm, UK)",Orspec Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,30 June 2025,Current,Pfizer (Australia) GENTAMICIN 80mg/2mL (as sulfate) injection BP ampoule - ARTG 11376,"For the treatment of infections due to one or more susceptible strains of bacteria, including Pseudomonas aeruginosa, Proteus species (indole positive and indole negative), Escherichia coli, Klebsiella, Enterobacter and Serratia species and Staphylococcus (including strains resistant to other antibiotics). Gentamicin may also be used for the treatment of the following conditions when caused by susceptible organisms: bacteraemia, respiratory tract infections, urinary tract infections, skin and skin structure infections, bone infections, peritonitis, septic abortion and burns complicated by sepsis. Aminoglycosides, including gentamicin are generally not indicated in uncomplicated initial episodes of urinary tract infection unless the causative organisms are not susceptible to less toxic antibiotics. In suspected or documented Gram-negative sepsis, gentamicin should be considered for initial antimicrobial therapy. Therapy may be instituted before obtaining results of susceptibility tests. The decision to continue therapy is based on results of the susceptibility tests, the severity of the infection and risk of toxicity. If anaerobic organisms are suspected, antimicrobial therapy in addition to the gentamicin regimen should be considered."
https://www.tga.gov.au/resources/section-19a-approvals/heparin-sodium-5000-units-1ml-solution-injection-or-concentrate-solution-infusion-ampoules-preservative-free-wockhardt-uk,"Heparin sodium 5,000 units in 1mL solution for injection or concentrate for solution for infusion ampoules - Preservative Free (Wockhardt, UK)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,31 May 2025,Current,DBL HEPARIN SODIUM 5000IU/1mL (porcine mucous) injection BP ampoule - ARTG 12881,"Heparin is indicated for the prophylaxis and treatment of thromboembolic disorders such as thrombophlebitis, pulmonary embolism and occlusive vascular disease. It is also used to prevent thromboembolic complications arising from cardiac and vascular surgery, frostbite, dialysis and other perfusion procedures. Heparin is also used as an anticoagulant in blood transfusions."
https://www.tga.gov.au/resources/section-19a-approvals/doxorubicin-hydrochloride-injection-bp-50-mg25-ml-2mgml-isotonic-sterile-solution-single-use-vial-accord-canada,"Doxorubicin hydrochloride injection, BP 50 mg/25 mL (2mg/mL) isotonic sterile solution in single use vial (Accord, Canada)",Accord Healthcare Pty Ltd ABN 49 110 502 513,1800 222 673,30 April 2025,Current,DOXORUBICIN ACCORD doxorubicin hydrochloride 200 mg/100 mL concentrated solution for injection vial - ARTG 174248,"To produce regression in neoplastic conditions such as: acute leukaemia, Wilms' tumour, neuroblastoma, soft tissue and bone sarcomas, breast carcinoma, lymphomas of both Hodgkin's and non-Hodgkin's type, bronchogenic (lung) carcinoma, thyroid carcinoma, hepatomas, ovarian carcinoma, etc. Doxorubicin is also indicated by intravesical administration in the primary management of non-metastatic carcinoma of the bladder. (Tis, T1, T2)."
https://www.tga.gov.au/resources/section-19a-approvals/acetylcysteine-200mgml-2g-10ml-injection-ampoule-martindale-pharma-uk,"Acetylcysteine 200mg/mL (2g in 10mL) injection ampoule (Martindale Pharma, UK)",Link Medical Products Pty Ltd ABN 73 010 971 516,1800 181 060,30 June 2025,Current,ACETYLCYSTEINE-LINK INJECTION acetylcysteine 2g/10mL concentrated injection ampoule - ARTG 170803 DBL ACETYLCYSTEINE injection concentrate acetylcysteine 2 g/ 10 mL injection ampoule - ARTG 121503,Antidote for paracetamol poisoning. Acetylcysteine is indicated in the treatment of paracetamol overdose to protect against hepatotoxicity.
https://www.tga.gov.au/resources/section-19a-approvals/cisplatin-injection-bp-100mg100ml-1mgml-solution-intravenous-infusion-single-use-vial-hikma-canada,"Cisplatin Injection BP 100mg/100mL (1mg/mL) Solution for Intravenous Infusion, single use vial (Hikma, Canada)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,30 April 2025,Current,DBL CISPLATIN 100mg/100mL injection vial - ARTG 47276 CISPLATIN ACCORD cisplatin 100 mg/100 mL concentrated injection vial - ARTG 286791 CISPLATIN ACCORD cisplatin 50 mg/50 mL concentrated injection vial - ARTG 286786,"Cisplatin may be used as a monotherapy or in combination with other chemotherapeutic agents in the treatment of: Metastatic non-seminomatous germ cell carcinoma Advanced stage, refractory ovarian carcinoma Advanced stage, refractory bladder carcinoma"
https://www.tga.gov.au/resources/section-19a-approvals/methotrexate-injection-usp-1g-vial-hikma-usa,"Methotrexate for Injection, USP 1g vial (Hikma, USA)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,30 April 2025,Current,METHOTREXATE ACCORD methotrexate 1000mg/10mL injection vial - ARTG 213737,"Antineoplastic chemotherapy Methotrexate has a broad spectrum of antineoplastic activity. It is indicated for the treatment of breast cancer, gestational choriocarcinoma, and in patients with chorioadenoma destruens and hydatidiform mole. Methotrexate may be used in combination with other chemotherapeutic agents for the palliative treatment of acute leukaemias, particularly acute lymphoblastic leukaemia. It may also be used in the treatment of Burkitt's lymphoma, advanced stages (III and IV, Peters' Staging System) of lymphosarcoma, especially in children, and in advanced cases of mycosis fungoides. High dose therapy In high-dose schedules, methotrexate may be effective alone or in combination therapy, in the treatment of epidermoid cancers of the head and neck, osteogenic sarcoma and bronchogenic carcinoma. Calcium folinate (leucovorin calcium) must be used in conjunction with high dose methotrexate therapy. Psoriasis chemotherapy Methotrexate may be of value in the symptomatic control of severe, recalcitrant, disabling psoriasis which is not adequately responsive to other forms of treatment. However, due to the high risk associated with its use, methotrexate should be used after the diagnosis has been definitely established, as by biopsy and/or after dermatologic consultation."
https://www.tga.gov.au/resources/section-19a-approvals/estalis-14050-norethindrone-acetate-and-estradiol-14050-mcgday-transdermal-therapeutic-system-canada,ESTALIS 140/50 norethindrone acetate and estradiol 140/50 mcg/day transdermal therapeutic system (Canada),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,31 July 2025,Current,ESTALIS CONTINUOUS 50/140 estradiol 50mcg/day norethisterone acetate 140mcg/day patch sachet - ARTG 70813,For the short-term treatment of symptoms of estrogen deficiency in menopausal women who have an intact uterus.
https://www.tga.gov.au/resources/section-19a-approvals/estalis-25050-norethindrone-acetate-and-estradiol-25050-mcgday-transdermal-therapeutic-system-canada,ESTALIS 250/50 norethindrone acetate and estradiol 250/50 mcg/day transdermal therapeutic system (Canada),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,31 July 2025,Current,ESTALIS CONTINUOUS 50/250 estradiol 50mcg/day norethisterone acetate 250mcg/day patch sachet - ARTG 70817,For the short-term treatment of symptoms of estrogen deficiency in menopausal women who have an intact uterus.
https://www.tga.gov.au/resources/section-19a-approvals/estramon-estradiol-100-micrograms24-hours-transdermal-patch-hexal-germany,"ESTRAMON estradiol 100 micrograms/24 hours transdermal patch (Hexal, Germany)",Sandoz Pty Ltd ABN 60 754 449 553,1800 726 369,30 June 2025,Current,ESTRADOT 100 estradiol 100 microgram transdermal drug delivery system sachet - ARTG 338060,"Short term treatment of symptoms of estrogen deficiency due to the menopause, whether natural or surgically induced. In women with an intact uterus, estrogen should always be opposed by progestogen in an adequate dosage regimen to ensure secretory transformation of the endometrium at regular intervals. Combination HRT should not be used in hysterectomised women because it is not needed in these women and it may increase the risk of breast cancer."
https://www.tga.gov.au/resources/section-19a-approvals/trulicity-dulaglutide-solution-injection-15-mg05-ml-prefilled-pen-usa,TRULICITY dulaglutide solution for injection 1.5 mg/0.5 mL prefilled pen (USA),Eli Lilly Australia Pty Ltd ABN 39 000 233 992,1800 454 559,31 July 2025,Current,TRULICITY dulaglutide (rch) 1.5 mg/0.5 mL solution for injection prefilled pen - ARTG 217965,"Type 2 Diabetes Mellitus: glycaemic control TRULICITY is indicated as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus: As monotherapy. In combination with other glucose-lowering medicinal products including insulin, when these, together with diet and exercise, do not provide adequate glycaemic control (see section 5.1 for data with respect to different combinations). Type 2 Diabetes Mellitus: reduction in risk of major adverse cardiovascular events TRULICITY is indicated as an adjunct to standard of care therapy to reduce the risk of major adverse cardiovascular events in adults with type 2 diabetes mellitus who have: established cardiovascular disease or multiple cardiovascular risk factors"
https://www.tga.gov.au/resources/section-19a-approvals/nitrostat-03mg-nitroglycerin-sublingual-tablets-usa-0,Nitrostat 0.3mg nitroglycerin sublingual tablets (USA),Viatris Pty Ltd ABN 50 629 389 911,1800 675 229,31 August 2025,Current,ANGININE glyceryl trinitrate 600microgram tablet bottle - ARTG 227783,Nitroglycerin is indicated for the acute relief of an attack or acute prophylaxis of angina pectoris due to coronary artery disease.
https://www.tga.gov.au/resources/section-19a-approvals/technescan-pyp-20mg-sodium-pyrophosphate-decahydrate-kit-radiopharmaceutical-preparation-netherlands,Technescan PYP 20mg sodium pyrophosphate decahydrate kit for radiopharmaceutical preparation (Netherlands),Global Medical Solutions Pty Limited T/A Radpharm Scientific ABN 66072147561,02 9503 8100,31 May 2025,Current,RADPHARM PYP kit for the preparation of Technetium (99mTc) tin pyrophosphate powder for injection multidose vial sodium pyrophosphate 30 mg - ARTG 14328,It is a diagnostic pharmaceutical administered by intravenous injection and is suitable for blood pool imaging. Technetium[99mTc] labelled erythrocytes are used in the non-invasive evaluation of cardiac ventricular function and heart wall motion.
